DPTO_CCDGO,DPTO_CNMBR,dpto_ano_c,dpto_act_a,dpto_narea,dpto_nano,shape_Leng,shape_Area,DPTO_CNMBR_NORM,"CÓD. 
DEP."
05,ANTIOQUIA,1886,Constitucion Politica de 1886,62807.0043767,2023,21.4927974328,5.13510342668,ANTIOQUIA,93795.0
08,ATLÁNTICO,1910,Ley 21 de 1910,3314.45839315,2023,2.57160117315,0.273823427383,ATLANTICO,30472.0
11,"BOGOTÁ, D.C.",1538,Constitucion Politica de 1886,1622.8529796,2023,3.76537101301,0.132207885375,"BOGOTA, D.C.",
13,BOLÍVAR,1886,Constitucion Politica de 1886,26720.3286039,2023,16.2734304452,2.19566893448,BOLIVAR,65884.0
15,BOYACÁ,1886,Constitucion Politica de 1886,23137.9976372,2023,15.906766577,1.88838670901,BOYACA,308640.0
17,CALDAS,1905,11 de Abril de 1905,7425.22016079,2023,6.66450211841,0.605497678692,CALDAS,90814.0
18,CAQUETÁ,1981,Ley 78 del 29 de Diciembre de 1981,92831.2825956,2023,21.2186395305,7.54024098645,CAQUETA,42192.0
19,CAUCA,1857,15 de junio de 1857,31242.8671159,2023,13.9531135167,2.5344153441,CAUCA,159315.0
20,CESAR,1967,Ley 25  21 de junio de 1967,22565.3114034,2023,12.5722523685,1.85820475345,CESAR,97740.0
23,CÓRDOBA,1951,Ley 9 del 18 de Diciembre de 1951,25086.2825214,2023,9.71124758822,2.05751146679,CORDOBA,117783.0
25,CUNDINAMARCA,1886,Constitucion Politica de 1886,22370.4571891,2023,13.1242523552,1.82362856343,CUNDINAMARCA,445125.0
27,CHOCÓ,1947,Ley 13 del 3 de Noviembre de 1947,48354.8256209,2023,20.6314565958,3.93987440169,CHOCO,110052.0
41,HUILA,1905,Ley 46 de 1905,18141.6605485,2023,10.3355645749,1.47421917699,HUILA,652966.0
44,LA GUAJIRA,1964,Acto Legislativo No. 1 de Diciembre 28 de 1964,20620.2390234,2023,10.792601093,1.70697645445,LA GUAJIRA,144584.0
47,MAGDALENA,1964,1964,23135.9407566,2023,10.8137685322,1.90926645339,MAGDALENA,183676.0
50,META,1959,Ley 118 del 16 de Diciembre de 1959,82830.3839042,2023,18.1945932784,6.73617147417,META,262050.0
52,NARIÑO,1904,Ley 1 de 1904,31497.0335099,2023,12.8395081019,2.54843109135,NARIÑO,699140.0
54,NORTE DE SANTANDER,1910,Ley 25 de 1910,21856.7542768,2023,10.7038112357,1.79232544093,NORTE DE SANTANDER,526554.0
63,QUINDIO,1966,Ley 2 TM de 1966,1933.57084668,2023,2.5548254469,0.157423729435,QUINDIO,246519.0
66,RISARALDA,1966,Ley 70 del 1 de Diciembre de 1966,3556.75006367,2023,4.85153003237,0.28978864568,RISARALDA,185460.0
68,SANTANDER,1910,Ley 25 14 de Julio de 1910,30561.565448,2023,11.8780221134,2.49910965538,SANTANDER,997696.0
70,SUCRE,1966,Ley 47 del 8 de Agosto de 1966,10591.8002183,2023,8.55910984351,0.870806588334,SUCRE,315210.0
73,TOLIMA,1909,Ley 65 de Noviembre de 1909,24139.432402,2023,9.55010974311,1.96502937926,TOLIMA,627435.0
76,VALLE DEL CAUCA,1910,Decreto No 340 de 16 de Abril de 1910,20665.581324,2023,12.6568228841,1.67948958582,VALLE DEL CAUCA,1198824.0
81,ARAUCA,1991,5 de Julio Constitucion Politica de 1991,23851.2570586,2023,9.12458555186,1.94415690404,ARAUCA,69417.0
85,CASANARE,1991,5 de Julio Constitucion Politica de 1991,44394.2358513,2023,12.1327629426,3.6150628285,CASANARE,267070.0
86,PUTUMAYO,1991,Articulo 309 Constitucion Politica de 1991,25976.2831054,2023,12.7079224606,2.10796483335,PUTUMAYO,152736.0
88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",1991,Artículo 310 Constitucion Politica de 1991,49.4176928211,2023,0.683361868246,0.00404934788477,"ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",12144.0
91,AMAZONAS,1991,Dcto. 2274 del 4 de Octubre de la Constitución Política 1991,109497.053788,2023,25.3559773719,8.8774799889,AMAZONAS,51597.0
94,GUAINÍA,1991,Articulo 309 Constitucion Politica de 1991,71289.3546825,2023,21.1790506698,5.74793739457,GUAINIA,15228.0
95,GUAVIARE,1991,5 de Julio Constitucion Politica de 1991,55543.8675122,2023,19.3941026673,4.50890774976,GUAVIARE,46265.0
97,VAUPÉS,1991,Articulo 309 Constitucion Politica de 1991,53299.2800149,2023,20.129833744,4.31381017685,VAUPES,26675.0
99,VICHADA,1991,5 de Julio Constitucion Politica de 1991,100063.370595,2023,17.2926130132,8.10068049164,VICHADA,66132.0
